Date,URL,Abstract,Tokens,Cosine Top 20,Cumulative Sum,Score AC,Score TG,Score WT
2011/04/01,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0169433210013541,"Functional laser printed Organic Thin Film Transistors (OTFTs) have been achieved from multilayer substrates composed with semiconductor and electrodes. The p-type copper phthalocyanine (CuPc) was used to form the active layer. Different kinds of metallic materials were used for source and drain electrodes. Multilayer donor substrates were prepared by the successive depositions of materials by either thermal evaporation under vacuum or laser printing. The materials were transferred together in a single step onto a receiver substrate by laser pulses in the picosecond regime. The latter substrate formed the gate and the dielectric of the transistor. The results are compared with the step-by-step laser printing process, where electrodes and organic layer were successively printed from two different donor substrates. The multilayer laser printing reveals an improvement of the performances of the OTFT devices.","['functional', 'laser', 'printed', 'organic', 'thin', 'film', 'transistors', 'otfts', 'achieved', 'multilayer', 'substrates', 'composed', 'semiconductor', 'electrodes', 'p', 'type', 'copper', 'phthalocyanine', 'cupc', 'used', 'form', 'active', 'layer', 'different', 'kinds', 'metallic', 'materials', 'used', 'source', 'drain', 'electrodes', 'multilayer', 'donor', 'substrates', 'prepared', 'successive', 'depositions', 'materials', 'either', 'thermal', 'evaporation', 'vacuum', 'laser', 'printing', 'materials', 'transferred', 'together', 'single', 'step', 'onto', 'receiver', 'substrate', 'laser', 'pulses', 'picosecond', 'regime', 'latter', 'substrate', 'formed', 'gate', 'dielectric', 'transistor', 'results', 'compared', 'step', 'step', 'laser', 'printing', 'process', 'electrodes', 'organic', 'layer', 'successively', 'printed', 'two', 'different', 'donor', 'substrates', 'multilayer', 'laser', 'printing', 'reveals', 'improvement', 'performances', 'otft', 'devices']",,,1.0,,
2011/08/01,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1566119911001662,"We studied laser dynamics of poly(9,9′-dioctylfluorene) (PFO) based organic thin films lasers. The favorably used host/guest system PFO, containing 6,6′-(2,2′-octyloxy-1,1′-bianphthalene) binaphthyl spacer groups (BN-PFO), doped with 1,4-bis(2-(4-(N,N-di(p-tolyl)amino)phenyl)vinylbenzene (DPAVB) shows a dramatic decrease of laser emission for excitation pulses longer than a few nanoseconds, whereas the undoped material offers a stable emission. By measuring the optical gain and the triplet absorption spectra we show that the spectral overlap of the two spectra leads to a dramatic increase of the laser threshold in the doped system due to a pile-up of long lived triplet states. On the contrary for BN-PFO, optical gain and triplet absorption are found to be spectrally separated. As a result, accumulated triplet excitons hardly affect the laser emission.","['studied', 'laser', 'dynamics', 'poly', 'dioctylfluorene', 'pfo', 'based', 'organic', 'thin', 'films', 'lasers', 'favorably', 'used', 'host', 'guest', 'system', 'pfo', 'containing', 'octyloxy', 'bianphthalene', 'binaphthyl', 'spacer', 'groups', 'bn', 'pfo', 'doped', 'bis', 'n', 'n', 'di', 'p', 'tolyl', 'amino', 'phenyl', 'vinylbenzene', 'dpavb', 'shows', 'dramatic', 'decrease', 'laser', 'emission', 'excitation', 'pulses', 'longer', 'nanoseconds', 'whereas', 'undoped', 'material', 'offers', 'stable', 'emission', 'measuring', 'optical', 'gain', 'triplet', 'absorption', 'spectra', 'show', 'spectral', 'overlap', 'two', 'spectra', 'leads', 'dramatic', 'increase', 'laser', 'threshold', 'doped', 'system', 'due', 'pile', 'long', 'lived', 'triplet', 'states', 'contrary', 'bn', 'pfo', 'optical', 'gain', 'triplet', 'absorption', 'found', 'spectrally', 'separated', 'result', 'accumulated', 'triplet', 'excitons', 'hardly', 'affect', 'laser', 'emission']",,,2.0,,
2011/06/01,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0379677911001147,"In this paper we present a potentially fast method for high resolution micro structuring of organic electronics via laser patterning. An investigation of the absorption spectrum in the UV/VIS regime of poly (3,4-ethylene dioxythiophene) poly (styrene-sulfonate) (PEDOT/PSS) has shown that UV-laser radiation should be used for optimal laser ablation of the material. Hence, the ablation characteristics of PEDOT/PSS with two different excimer lasers are compared with each other. The optimal fluence for the ablation of the material has been determined. The lasers used in this study are ArF (λ = 193 nm) and KrF (λ = 248 nm) excimer lasers.","['paper', 'present', 'potentially', 'fast', 'method', 'high', 'resolution', 'micro', 'structuring', 'organic', 'electronics', 'via', 'laser', 'patterning', 'investigation', 'absorption', 'spectrum', 'uv', 'vis', 'regime', 'poly', 'ethylene', 'dioxythiophene', 'poly', 'styrene', 'sulfonate', 'pedot', 'pss', 'shown', 'uv', 'laser', 'radiation', 'used', 'optimal', 'laser', 'ablation', 'material', 'hence', 'ablation', 'characteristics', 'pedot', 'pss', 'two', 'different', 'excimer', 'lasers', 'compared', 'optimal', 'fluence', 'ablation', 'material', 'determined', 'lasers', 'used', 'study', 'arf', 'nm', 'krf', 'nm', 'excimer', 'lasers']",,,1.0,,
2011/04/01,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0169433210015151,"Laser-induced forward transfer (LIFT) has been used to deposit pixels of an organic semiconductor, distyryl-quaterthiophenes (DS4T). The dynamics of the process have been investigated by shadowgraphic imaging for the nanosecond (ns) and picosecond (ps) regime on a time-scale from the laser iradiation to 1.5 μs. The morphology of the deposit has been studied for different conditions. Intermediate sacrificial layer of gold or triazene polymer has been used to trap the incident radiation. Its role is to protect the layer to be transferred from direct irradiation and to provide a mechanical impulse strong enough to eject the material.","['laser', 'induced', 'forward', 'transfer', 'lift', 'used', 'deposit', 'pixels', 'organic', 'semiconductor', 'distyryl', 'quaterthiophenes', 'ds', 'dynamics', 'process', 'investigated', 'shadowgraphic', 'imaging', 'nanosecond', 'ns', 'picosecond', 'ps', 'regime', 'time', 'scale', 'laser', 'iradiation', 'morphology', 'deposit', 'studied', 'different', 'conditions', 'intermediate', 'sacrificial', 'layer', 'gold', 'triazene', 'polymer', 'used', 'trap', 'incident', 'radiation', 'role', 'protect', 'layer', 'transferred', 'direct', 'irradiation', 'provide', 'mechanical', 'impulse', 'strong', 'enough', 'eject', 'material']",,,1.0,,
2011/11/01,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1566119911002801,"Introduction of microstructures into an organic light-emitting device (OLED) is being considered as an effective approach to outcouple photons trapped in waveguide (WG) and surface plasmon-polariton (SPP) modes within the devices. However, the attempt has been hampered by the difficulty in applying lithographic patterning technologies on organic materials. Here, we show the end has been simply reached by one-step directly laser ablating the hole-transporting layer of the OLEDs without inducing any optical or electrical deterioration. Three times efficiency enhancement has been experimentally attained from the corrugated OLEDs, which has then been ascribed by numerical simulation to the efficient outcoupling of the SPP and WG modes to radiation.","['introduction', 'microstructures', 'organic', 'light', 'emitting', 'device', 'oled', 'considered', 'effective', 'approach', 'outcouple', 'photons', 'trapped', 'waveguide', 'wg', 'surface', 'plasmon', 'polariton', 'spp', 'modes', 'within', 'devices', 'however', 'attempt', 'hampered', 'difficulty', 'applying', 'lithographic', 'patterning', 'technologies', 'organic', 'materials', 'show', 'end', 'simply', 'reached', 'one', 'step', 'directly', 'laser', 'ablating', 'hole', 'transporting', 'layer', 'oleds', 'without', 'inducing', 'optical', 'electrical', 'deterioration', 'three', 'times', 'efficiency', 'enhancement', 'experimentally', 'attained', 'corrugated', 'oleds', 'ascribed', 'numerical', 'simulation', 'efficient', 'outcoupling', 'spp', 'wg', 'modes', 'radiation']",,,2.0,,
2011/04/01,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0169433210015138,"We report on the development of hybrid organic/inorganic thin-film transistors using regioregular poly-3-hexylthiophene (P3HT) semiconductor material deposited by means of the solid-phase Laser Induced Forward Transfer (LIFT) technique. P3HT pixels were LIFT-printed onto Au/Ti source and drain electrodes formed on silicon dioxide/p+-type Si substrate. Deposition of the P3HT pixels was investigated as a function of the laser fluence using donor substrates with and without a dynamic release layer. Device electrical characterization reveals efficient field-effect action of the bottom gate on the organic channel. The transfer IDS–VGS characteristics exhibit well-defined sub-threshold, linear and saturation regimes designating LIFT as a promising technique for hybrid organic/inorganic transistor technology.","['report', 'development', 'hybrid', 'organic', 'inorganic', 'thin', 'film', 'transistors', 'using', 'regioregular', 'poly', 'hexylthiophene', 'p', 'ht', 'semiconductor', 'material', 'deposited', 'means', 'solid', 'phase', 'laser', 'induced', 'forward', 'transfer', 'lift', 'technique', 'p', 'ht', 'pixels', 'lift', 'printed', 'onto', 'au', 'ti', 'source', 'drain', 'electrodes', 'formed', 'silicon', 'dioxide', 'p', 'type', 'si', 'substrate', 'deposition', 'p', 'ht', 'pixels', 'investigated', 'function', 'laser', 'fluence', 'using', 'donor', 'substrates', 'without', 'dynamic', 'release', 'layer', 'device', 'electrical', 'characterization', 'reveals', 'efficient', 'field', 'effect', 'action', 'bottom', 'gate', 'organic', 'channel', 'transfer', 'ids', 'vgs', 'characteristics', 'exhibit', 'well', 'defined', 'sub', 'threshold', 'linear', 'saturation', 'regimes', 'designating', 'lift', 'promising', 'technique', 'hybrid', 'organic', 'inorganic', 'transistor', 'technology']",,,0.0,,
2011/07/01,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1352231011004018,"The aim of this study was to characterize the organic composition of ambient ultrafine particles (<50 nm) in a boreal forest environment and compare the analytical results obtained by different techniques with use a data analysis software. In the chromatographic techniques, particles were collected on a filter and analyzed off-line after sample preparation, whereas in the aerosol MS, particle analysis was performed directly from the particle source.","['aim', 'study', 'characterize', 'organic', 'composition', 'ambient', 'ultrafine', 'particles', 'nm', 'boreal', 'forest', 'environment', 'compare', 'analytical', 'results', 'obtained', 'different', 'techniques', 'use', 'data', 'analysis', 'software', 'chromatographic', 'techniques', 'particles', 'collected', 'filter', 'analyzed', 'line', 'sample', 'preparation', 'whereas', 'aerosol', 'ms', 'particle', 'analysis', 'performed', 'directly', 'particle', 'source']",,,0.0,,
2011/08/01,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0584854711001662,"With the aim to study and to improve LIBS capability for detecting residues of energetic compounds in air surrounding, nine types of explosives and some potential interferents, placed in small quantities on a metallic support, were interrogated by a laser. Shot-to-shot behavior of the line intensities relative to the sample constituents was studied. The detected plasma was not stoichiometric and the line intensities, as well as their ratios, were changing even for an order of magnitude from one sampling point to another, particularly in the case of aromatic compounds. We explained some sources of such LIBS signal's behavior and this allowed us to establish a data processing procedure, which leads to a good linearization among the data sets. In this way, it was possible to determine some real differences between the LIBS spectra from explosives and interferents, and to correlate them with molecular formulas, with some known pathways for the molecule's decomposition and with successive chemical reactions in the plasma. Number spectral parameters, which distinguish the each studied explosive from other organic materials, were also determined and compared with previously published results relative to percentages of correct classifications for the same explosives. Experimental conditions for reliable recognition of the explosives by LIBS in air are also suggested, together with the parameters that should be considered or discarded from the classification procedure.","['aim', 'study', 'improve', 'libs', 'capability', 'detecting', 'residues', 'energetic', 'compounds', 'air', 'surrounding', 'nine', 'types', 'explosives', 'potential', 'interferents', 'placed', 'small', 'quantities', 'metallic', 'support', 'interrogated', 'laser', 'shot', 'shot', 'behavior', 'line', 'intensities', 'relative', 'sample', 'constituents', 'studied', 'detected', 'plasma', 'stoichiometric', 'line', 'intensities', 'well', 'ratios', 'changing', 'even', 'order', 'magnitude', 'one', 'sampling', 'point', 'another', 'particularly', 'case', 'aromatic', 'compounds', 'explained', 'sources', 'libs', 'signal', 'behavior', 'allowed', 'us', 'establish', 'data', 'processing', 'procedure', 'leads', 'good', 'linearization', 'among', 'data', 'sets', 'way', 'possible', 'determine', 'real', 'differences', 'libs', 'spectra', 'explosives', 'interferents', 'correlate', 'molecular', 'formulas', 'known', 'pathways', 'molecule', 'decomposition', 'successive', 'chemical', 'reactions', 'plasma', 'number', 'spectral', 'parameters', 'distinguish', 'studied', 'explosive', 'organic', 'materials', 'also', 'determined', 'compared', 'previously', 'published', 'results', 'relative', 'percentages', 'correct', 'classifications', 'explosives', 'experimental', 'conditions', 'reliable', 'recognition', 'explosives', 'libs', 'air', 'also', 'suggested', 'together', 'parameters', 'considered', 'discarded', 'classification', 'procedure']",,,0.0,,
2011/01/01,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0584854710002995,"With the objective of detection and identification of explosives, different organic compounds, including aromatic nitrocompounds, RDX, anthracene, 2,4-diaminotoluene (DAT), 4-methyl-3-nitroaniline (MNA) and pentaerythritol (PENT) have been analyzed by laser induced breakdown spectroscopy (LIBS). To avoid the secondary ionization and to discriminate between the spectral contribution due to air from that of the compound in the plasma generated in air, the emission signatures from atomic lines (C at 247.9 nm, H at 656.3 nm, N at 746.8 nm and O at 777.2 nm) and molecular bands (CN at 388.3 nm and C2 at 516.5 nm) have been investigated in plasmas generated in air and in helium. The different possible pathways leading to the observation of molecular emissions have been studied, together with a discussion of the most useful tools for the explosives discrimination. Moreover, the effect of the laser fluence on the atomic and molecular emissions and their relationship with the oxygen balance of an organic explosive is presented.","['objective', 'detection', 'identification', 'explosives', 'different', 'organic', 'compounds', 'including', 'aromatic', 'nitrocompounds', 'rdx', 'anthracene', 'diaminotoluene', 'dat', 'methyl', 'nitroaniline', 'mna', 'pentaerythritol', 'pent', 'analyzed', 'laser', 'induced', 'breakdown', 'spectroscopy', 'libs', 'avoid', 'secondary', 'ionization', 'discriminate', 'spectral', 'contribution', 'due', 'air', 'compound', 'plasma', 'generated', 'air', 'emission', 'signatures', 'atomic', 'lines', 'c', 'nm', 'h', 'nm', 'n', 'nm', 'nm', 'molecular', 'bands', 'cn', 'nm', 'c', 'nm', 'investigated', 'plasmas', 'generated', 'air', 'helium', 'different', 'possible', 'pathways', 'leading', 'observation', 'molecular', 'emissions', 'studied', 'together', 'discussion', 'useful', 'tools', 'explosives', 'discrimination', 'moreover', 'effect', 'laser', 'fluence', 'atomic', 'molecular', 'emissions', 'relationship', 'oxygen', 'balance', 'organic', 'explosive', 'presented']",,,0.0,,
2011/01/15,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0169433210014029,"We examined the correlation between thickness of an epitaxial VO2 phase grown on a TiO2 (0 0 1) substrate by the excimer-laser-assisted metal organic deposition (ELAMOD) process and the metal–insulator transition (MIT) property of it. The abrupt and hysteretic MIT was observed for the epitaxial films (thickness: t ≥ 6 nm), and the epitaxial film (t ≤ 4 nm) showed semiconductor behavior. When an amorphous VOx layer was prepared on the ultrathin epitaxial phase (t ≤ 4 nm) by the ELAMOD, a non-hysteretic MIT was successfully observed. The non-hysteretic MIT was found to be owing to roughened interface between the epitaxial phase and the amorphous phase, where there would be a number of structural defects.","['examined', 'correlation', 'thickness', 'epitaxial', 'vo', 'phase', 'grown', 'tio', 'substrate', 'excimer', 'laser', 'assisted', 'metal', 'organic', 'deposition', 'elamod', 'process', 'metal', 'insulator', 'transition', 'mit', 'property', 'abrupt', 'hysteretic', 'mit', 'observed', 'epitaxial', 'films', 'thickness', 'nm', 'epitaxial', 'film', 'nm', 'showed', 'semiconductor', 'behavior', 'amorphous', 'vox', 'layer', 'prepared', 'ultrathin', 'epitaxial', 'phase', 'nm', 'elamod', 'non', 'hysteretic', 'mit', 'successfully', 'observed', 'non', 'hysteretic', 'mit', 'found', 'owing', 'roughened', 'interface', 'epitaxial', 'phase', 'amorphous', 'phase', 'would', 'number', 'structural', 'defects']",,,0.0,,
